product_name,product_price,product_brand,product_image_url,product_url
Union Falcor 2021,"€ 339,95",Union,//images.blue-tomato.com/is/image/bluetomato/304070656_front.jpg-6gyIZZAAOoh7n_NvG46q7Y2lLCY/Vans+Hi+Standard+OG+2021+Snowboardboots.jpg?$b1$,/de-AT/product/Union-Falcor+2021+Snowboardbindung-618608/
Union Force 2021,"€ 249,95",Union,//images.blue-tomato.com/is/image/bluetomato/304300377_front.jpg-qhApz8xT1f2ZaV1NwjXl_x3g0P0/Union+Force+2021+Snowboardbindung.jpg?$b1$,/de-AT/product/Union-Force+2021+Snowboardbindung-618606/?colid=white
Nitro Team TLS 2021,"€ 399,95",Nitro,//images.blue-tomato.com/is/image/bluetomato/303921586_front.jpg-vfARR5TsYsbsfqCW-kBSolQ0Ny0/Burton+Photon+BOA+Snowboard+Boots.jpg?$b1$,/de-AT/product/Nitro-Team+TLS+2021+Snowboardboots-620651/
Burton Ruler Boa 2021,"€ 319,95",Burton,//images.blue-tomato.com/is/image/bluetomato/304372047_front.jpg-HQNos6n5HuAgAeTq4gETnlSC_pA/Vans+Arthur+Longo+Hi+Standard+Pro+2021+Snowboardboots.jpg?$b1$,/de-AT/product/Burton-Ruler+Boa+2021+Snowboardboots-622769/?colid=blue
Union Expedition Splitboard Bindings 2021,"€ 379,95",Union,//images.blue-tomato.com/is/image/bluetomato/304272068_front.jpg-LTY8bKtJGOwAHM31cv3YJGsn_Qc/DEELUXE+ID+Dual+Boa+PF+2021+Snowboardboots.jpg?$b1$,/de-AT/product/Union-Expedition+Splitboard+Bindung+2021-618614/
Nitro Team TLS 2020,"€ 319,95",Nitro,//images.blue-tomato.com/is/image/bluetomato/304358716_front.jpg-WQfH8RmsJ6CppXXGVGTDkZFGkz8/Ride+Hera+2021+Snowboardboots.jpg?$b1$,/de-AT/product/Nitro-Team+TLS+2020+Snowboardboots-576272/
Vans Hi-Standard OG 2021,,Vans,//images.blue-tomato.com/is/image/bluetomato/304300175_front.jpg-tL3iwjD8s4Y6NriChhCzEtXdM3o/Capita+Defenders+Of+Awesome+154+2021+Snowboard.jpg?$b1$,/de-AT/product/Vans-Hi+Standard+OG+2021+Snowboardboots-587519/
Union Force 2021,"€ 229,95",Union,//images.blue-tomato.com/is/image/bluetomato/304300182_front.jpg-cHctpw0w8Iz5eVDEefq4kJW37tE/Capita+Defenders+Of+Awesome+161W+2021+Snowboard.jpg?$b1$,/de-AT/product/Union-Force+2021+Snowboardbindung-618606/
Burton Photon BOA Snowboard Boots,"€ 249,95",Burton,//images.blue-tomato.com/is/image/bluetomato/304342268_front.jpg-jII2vP9tiVniI6miovxROVf0oH8/Burton+Cartel+X+2021+Snowboardbindung.jpg?$b1$,/de-AT/product/Burton-Photon+BOA+Snowboard+Boots-567043/
Vans Arthur Longo Hi-Standard Pro 2021,"€ 359,95",Vans,//images.blue-tomato.com/is/image/bluetomato/304342561_front.jpg-tqT28LhxT51vtVFmU8U8k6epe0Q/Burton+Ion+Boa+2021+Snowboardboots.jpg?$b1$,/de-AT/product/Vans-Arthur+Longo+Hi+Standard+Pro+2021+Snowboardboots-628307/
DEELUXE ID Dual Boa PF 2021,"€ 289,95",DEELUXE,//images.blue-tomato.com/is/image/bluetomato/304372087_front.jpg-dhahmI8iJ9pFhesuFZNeqUCWEsU/Vans+Standard+MTE+2021+Snowboardboots.jpg?$b1$,/de-AT/product/DEELUXE-ID+Dual+Boa+PF+2021+Snowboardboots-615580/
Ride Hera 2021,"€ 349,95",Ride,//images.blue-tomato.com/is/image/bluetomato/304300427_front.jpg-rSvw9nbEpISxb-HuOvATdk1ppu8/Union+Flite+Pro+2021+Snowboardbindung.jpg?$b1$,/de-AT/product/Ride-Hera+2021+Snowboardboots-624731/
Capita Defenders Of Awesome 154 2021,"€ 289,95",Capita,//images.blue-tomato.com/is/image/bluetomato/304345945_front.jpg-XIrvkaxerloSPiUVdMqm_0-jsAM/Burton+Felix+Boa+2021+Snowboardboots.jpg?$b1$,/de-AT/product/Capita-Defenders+Of+Awesome+154+2021+Snowboard-618456/
Capita Defenders Of Awesome 161W 2021,"€ 479,95",Capita,//images.blue-tomato.com/is/image/bluetomato/303920013_front.jpg-2WJVOocZjyJm_Qx6Ebn8nq7JTPw/Burton+Limelight+2020+Snowboardboots.jpg?$b1$,/de-AT/product/Capita-Defenders+Of+Awesome+161W+2021+Snowboard-618463/
